Artist_Name,Track_Name,Class,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Mode,Liveness,Valence,Tempo_bpm,Duration_ms,Time_Signature
The Stone Roses,Driving South,10,Rock,44.0,0.472,0.947,-6.128,0.0774,9.43e-06,1,0.364,0.75,98.784,309867.0,4
R3HAB,Whiplash - Acoustic,9,Pop,44.0,0.556,0.188,-12.161,0.0316,0.494,1,0.119,0.184,138.091,145217.0,4
MC Hammer,U Can't Touch This,9,Pop,73.0,0.867,0.517,-13.222,0.0875,0.00456,0,0.0864,0.866,133.148,257360.0,4
duendita,Open Eyes,1,Alt Music,35.0,0.341,0.47,-10.144,0.037,0.226,1,0.518,0.203,144.109,204280.0,4
Rainbow,Since You Been Gone,8,Metal,66.0,0.733,0.726,-6.514,0.0371,0.379,1,0.471,0.915,120.814,197160.0,4
fijitrip,Private Social Network,6,Indie,30.0,0.696,0.661,-5.996,0.0877,0.00103,1,0.114,0.397,121.032,180822.0,4
Machine Gun Kelly,love race (feat. Kellin Quinn),9,Pop,81.0,0.517,0.848,-4.054,0.0521,0.00581,1,0.214,0.429,95.906,188779.0,4
ShittyCT,Mahapecha Shel Simcha,6,Indie,4.0,0.437,0.948,-4.287,0.092,0.000234,0,0.0876,0.517,170.023,180293.0,4
Tetrarch,Negative Noise,8,Metal,49.0,0.384,0.974,-3.647,0.141,0.000153,0,0.226,0.155,194.842,247370.0,4
Dreezy,Where Them $ @,5,HipHop,42.0,0.858,0.525,-7.332,0.148,0.0443,1,0.197,0.351,170.875,193962.0,4
The Ayoub Sisters,Mother's Pride,7,Instrumental,16.0,0.297,0.0958,-20.316,0.0384,0.844,1,0.126,0.296,80.672,3.503783333,4
Brandon Jack & The Artifacts,four days,1,Alt Music,29.0,0.516,0.948,-3.994,0.0644,0.0279,1,0.15,0.957,170.087,130329.0,4
Moon Guitar,Struna,7,Instrumental,47.0,0.32,0.242,-15.17,0.0422,0.941,1,0.165,0.431,81.09,2.817633333,4
Ivri Lider,נסיכה שלי,9,Pop,47.0,0.661,0.407,-9.283,0.0412,0.713,1,0.115,0.337,127.873,216695.0,4
Vieux Farka Touré,Bonheur,2,Blues,37.0,0.569,0.751,-12.826,0.0418,0.365,1,0.0561,0.758,105.156,338292.0,4
Kvelertak,Crack of Doom (feat. Troy Sanders),8,Metal,44.0,0.357,0.977,-6.489,0.124,1.6e-05,0,0.105,0.28,159.81,233929.0,4
Better Than Ezra,Good,10,Rock,63.0,0.615,0.657,-6.873,0.029,0.000372,1,0.132,0.792,109.95,185093.0,4
Lior Narkis,חלקת אלוהים - השיר של אופיר,9,Pop,44.0,0.479,0.444,-6.497,0.0316,0.857,1,0.141,0.236,107.915,174242.0,4
Silversun Pickups,Lazy Eye,10,Rock,65.0,0.633,0.831,-5.053,0.0461,0.0401,1,0.117,0.243,127.397,354360.0,4
Orange Juice,Rip It Up,6,Indie,55.0,0.881,0.546,-9.357,0.0407,0.0532,1,0.0497,0.852,102.814,320413.0,4
U2,The Blackout,10,Rock,49.0,0.624,0.528,-9.103,0.0344,0.0286,0,0.0866,0.33,120.049,285933.0,4
Omer Adam,תגידי לי שטוב לך,9,Pop,37.0,0.607,0.503,-7.406,0.0703,0.446,1,0.173,0.473,135.606,205040.0,4
The Clash,The Magnificent Seven - Remastered,10,Rock,56.0,0.799,0.789,-8.208,0.0395,0.0595,1,0.0338,0.831,116.083,333520.0,4
Victor Manu,Raphaela,7,Instrumental,47.0,0.494,0.0634,-19.203,0.044,0.984,1,0.11,0.15,78.227,3.014916667,4
The Last Shadow Puppets,Bad Habits,10,Rock,49.0,0.52,0.642,-7.546,0.0434,0.000517,1,0.0794,0.449,88.967,180968.0,4
Anne-Marie,Our Song,9,Pop,48.0,0.595,0.759,-4.245,0.0423,0.141,0,0.172,0.515,80.953,163733.0,4
Sly & The Family Stone,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",10,Rock,28.0,0.566,0.943,-10.359,0.123,0.00488,1,0.728,0.324,117.813,403027.0,4
Veruca Salt,Seether,1,Alt Music,47.0,0.612,0.86,-9.175,0.044,0.00253,1,0.158,0.687,136.212,196467.0,4
Juice WRLD,Life's A Mess (feat. Halsey),5,HipHop,77.0,0.63,0.446,-8.9,0.0351,0.337,1,0.166,0.177,143.078,202193.0,4
BENEE,C U,9,Pop,53.0,0.521,0.532,-11.492,0.0357,0.563,0,0.386,0.326,95.19,180533.0,4
Berry Sakharof,נפתלי הדג,10,Rock,18.0,0.501,0.474,-13.893,0.0299,0.608,1,0.147,0.281,102.404,352267.0,4
Ganser,Self Service - Adam Faulkner / Girl Band Remix,6,Indie,9.0,0.185,0.865,-10.522,0.0576,0.000632,1,0.112,0.0789,84.031,207465.0,3
Dion,Blues Comin’ On,2,Blues,34.0,0.532,0.685,-6.577,0.0318,0.0208,0,0.303,0.648,140.036,288071.0,4
Nick Cave & The Bad Seeds,Deanna,1,Alt Music,41.0,0.415,0.94,-4.874,0.0889,0.0049,1,0.144,0.439,134.392,225627.0,4
Soen,Lotus,10,Rock,49.0,0.425,0.403,-9.343,0.0273,0.0792,0,0.113,0.135,155.761,323931.0,4
Vani Jairam,Bole Re Papihara,3,Bollywood,20.0,0.373,0.707,-9.566,0.0562,0.668,0,0.361,0.75,89.1,3.578883333,4
Liam Gallagher,Once,10,Rock,59.0,0.39,0.646,-3.961,0.0372,0.0904,1,0.114,0.271,120.755,213677.0,4
The Pretty Things,She's a Lover,6,Indie,38.0,0.439,0.795,-9.424,0.0314,0.00407,1,0.296,0.789,84.846,212067.0,4
Tha Dogg Pound,"New York, New York",5,HipHop,56.0,0.827,0.532,-4.775,0.302,0.0219,1,0.127,0.694,87.257,290440.0,4
BLAB,Casual Sex,1,Alt Music,26.0,0.709,0.685,-7.573,0.0281,0.0355,1,0.0389,0.7,129.987,194567.0,4
Mighty Sam McClain,When the Hurt Is Over,2,Blues,41.0,0.583,0.143,-15.786,0.148,0.676,1,0.117,0.533,156.009,371496.0,3
Trillary Banks,Last Man Standing,5,HipHop,35.0,0.704,0.579,-9.331,0.418,0.287,1,0.139,0.712,142.815,176667.0,4
El Goodo,Feel so Fine,10,Rock,30.0,0.247,0.88,-3.057,0.097,2.01e-05,1,0.122,0.333,134.445,237493.0,4
Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],2,Blues,54.0,0.801,0.637,-6.406,0.0565,0.169,1,0.0925,0.769,77.012,218360.0,4
Why Bonnie,Athlete,10,Rock,24.0,0.539,0.578,-8.522,0.0278,0.0987,1,0.28,0.353,102.03,191890.0,4
Snoop Dogg,Beautiful,5,HipHop,63.0,0.907,0.695,-6.268,0.135,0.246,0,0.0808,0.961,101.007,298307.0,4
MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),10,Rock,68.0,0.667,0.636,-5.669,0.082,0.022,1,0.0908,0.152,158.058,151891.0,4
Turbo Knight,Rasengan,6,Indie,43.0,0.436,0.944,-7.981,0.0398,0.0035,1,0.105,0.588,110.002,307545.0,4
The Black Crowes,Sometimes Salvation,10,Rock,41.0,0.366,0.662,-4.914,0.034,0.00261,1,0.0594,0.362,148.34,284000.0,3
"Britney Spears, will.i.am",Big Fat Bass (feat. will.i.am),9,Pop,41.0,0.777,0.71,-4.717,0.0919,0.0295,1,0.192,0.673,129.945,4.747333333,4
Radiohead,Burn the Witch,10,Rock,57.0,0.54,0.847,-6.52,0.0297,0.303,1,0.109,0.62,148.936,220609.0,4
Oceans,Shark Tooth,8,Metal,42.0,0.435,0.889,-6.462,0.0474,2.38e-05,0,0.87,0.344,93.896,198345.0,4
Arctic Monkeys,R U Mine?,10,Rock,79.0,0.288,0.758,-5.692,0.0371,0.00616,0,0.303,0.619,97.094,201726.0,4
The Stranglers,Golden Brown,10,Rock,71.0,0.562,0.383,-15.474,0.0304,0.143,1,0.138,0.599,93.764,206760.0,3
Itay Levi,השקט של שבת,9,Pop,33.0,0.683,0.347,-10.392,0.0473,0.549,1,0.0907,0.437,80.009,157630.0,4
Joe Bonamassa,Cradle Rock,10,Rock,44.0,0.411,0.91,-4.867,0.0392,0.000243,1,0.0931,0.613,106.675,230027.0,4
LeRoi Thirteen,Stand up and Shout (Cover),8,Metal,41.0,0.49,0.974,-4.295,0.115,0.000546,1,0.336,0.257,108.946,229617.0,4
Us The Duo,drivers license,0,Acoustic/Folk,55.0,0.374,0.35,-11.48,0.176,0.843,1,0.188,0.129,74.464,3.81156667,1
Keller Williams,Right Here,2,Blues,43.0,0.633,0.194,-14.543,0.0729,0.885,1,0.111,0.421,143.376,348383.0,4
Primal Scream,Movin' on Up,10,Rock,63.0,0.523,0.76,-12.437,0.0325,0.103,1,0.0666,0.581,94.267,228267.0,4
Lil Son Jackson,Upstairs Boogie,2,Blues,35.0,0.593,0.438,-13.451,0.028,0.883,0,0.317,0.758,130.225,136560.0,3
Drake,Passionfruit,9,Pop,81.0,0.809,0.463,-11.377,0.0396,0.256,1,0.109,0.364,111.98,4.98235,4
Abstract Orchestra,New Day,5,HipHop,45.0,0.748,0.411,-6.06,0.0489,0.0532,0,0.115,0.339,91.941,145052.0,4
Luther Allison,Soul Fixin' Man,2,Blues,13.0,0.529,0.595,-13.696,0.0375,0.0227,1,0.0326,0.767,134.642,187827.0,4
Elena Falwell,Elegi For Cello,7,Instrumental,41.0,0.167,0.148,-19.539,0.0347,0.955,1,0.111,0.04,76.412,2.7204,3
Sharon Van Etten,Comeback Kid,10,Rock,51.0,0.543,0.927,-5.209,0.0755,0.000342,1,0.0327,0.354,120.097,182333.0,4
beabadoobee,"Don’t You (Forget About Me) - live from Abbey Road Studios, London",10,Rock,41.0,0.644,0.891,-5.147,0.0526,0.00111,1,0.118,0.504,110.007,239488.0,4
R.E.M.,Drive,10,Rock,62.0,0.467,0.432,-11.753,0.0283,0.175,1,0.226,0.238,142.642,271333.0,4
FCG Heem,Shinin,5,HipHop,44.0,0.514,0.387,-11.51,0.409,0.0753,0,0.0485,0.461,84.112,186812.0,4
Tom The Mail Man,Taking Over,5,HipHop,60.0,0.762,0.516,-8.016,0.0969,0.0288,0,0.0966,0.721,156.97,158000.0,4
ANSON,Ghost,10,Rock,28.0,0.357,0.943,-6.168,0.101,0.000547,0,0.145,0.482,147.217,209682.0,4
Jimmy Eat World,All The Way (Stay),10,Rock,38.0,0.576,0.931,-2.491,0.0563,0.00085,1,0.143,0.735,133.986,245747.0,4
dempsey hope,picture perfect,9,Pop,3.0,0.61,0.482,-9.137,0.137,0.299,1,0.0527,0.869,73.628,147013.0,4
Howie Lee,Birdy Island,6,Indie,24.0,0.491,0.504,-13.581,0.0566,0.625,0,0.222,0.145,159.911,258771.0,4
Pit Pony,Dutch Courage,1,Alt Music,25.0,0.117,0.916,-3.281,0.0723,1.39e-05,1,0.219,0.423,151.886,270205.0,4
Niko B,Who's That What's That,9,Pop,63.0,0.86,0.668,-8.512,0.221,0.423,1,0.096,0.237,128.096,240000.0,4
Ruthi Navon,חשמל בכפות ידיך,10,Rock,22.0,0.766,0.526,-11.819,0.0392,0.784,1,0.0879,0.934,141.631,238000.0,4
Dan + Shay,Good Things,9,Pop,71.0,0.529,0.621,-6.018,0.0296,0.13,1,0.173,0.617,97.189,2.48178333,4
Gossip,Standing In the Way of Control,6,Indie,55.0,0.697,0.919,-6.174,0.029,0.00694,1,0.203,0.943,118.341,256400.0,4
Gone Is Gone,Breaks,8,Metal,28.0,0.407,0.932,-6.252,0.113,0.00363,1,0.229,0.173,102.954,235214.0,4
Violent Soho,Covered in Chrome,10,Rock,55.0,0.564,0.753,-5.223,0.0433,0.00512,1,0.167,0.414,152.064,212547.0,4
Mr. Oizo,Positif,6,Indie,44.0,0.744,0.928,-5.628,0.0495,0.000409,0,0.132,0.507,123.014,171120.0,4
Cage The Elephant,Skin and Bones,10,Rock,65.0,0.539,0.788,-3.227,0.0396,0.0089,0,0.29,0.357,159.986,196173.0,4
Carusella,Star Quality,6,Indie,11.0,0.431,0.967,-4.555,0.114,0.00159,1,0.142,0.179,146.623,269440.0,4
FLO,D's,9,Pop,66.0,0.266,0.294,-11.938,0.0291,0.771,0,0.107,0.0397,137.941,811077.0,3
Pathiena,The Deepest Of Sorrow,0,Acoustic/Folk,40.0,0.645,0.329,-16.642,0.0419,0.239,1,0.375,0.184,128.099,3.545833333,4
The Offspring,Coming for You,10,Rock,59.0,0.508,0.912,-1.798,0.0827,9.75e-05,1,0.0669,0.533,139.381,228587.0,4
Pain of Salvation,Meaningless,10,Rock,42.0,0.579,0.661,-4.011,0.0422,0.0675,1,0.303,0.374,144.909,287467.0,3
Black Sabbath,Paranoid,10,Rock,16.0,0.426,0.619,-11.501,0.0722,8.44e-05,0,0.17,0.382,162.721,2.80733333,4
The Dark Element,Songs the Night Sings,8,Metal,47.0,0.449,0.854,-8.261,0.0431,4.62e-05,1,0.246,0.408,152.142,309827.0,4
Henry Gray,Let's Get High,2,Blues,19.0,0.698,0.609,-6.993,0.0485,0.743,1,0.188,0.665,131.057,232413.0,4
Eyal Golan,טעיתי,9,Pop,38.0,0.54,0.425,-9.577,0.0518,0.428,0,0.218,0.239,88.047,220543.0,4
Noah Kahan,Young Blood - Acoustic,0,Acoustic/Folk,59.0,0.691,0.231,-10.512,0.0471,0.815,1,0.103,0.298,85.153,3.34355,4
The First Edition,Just Dropped In (To See What Condition My Condition Was In),10,Rock,57.0,0.58,0.551,-9.898,0.0582,0.181,0,0.15,0.516,115.896,201213.0,4
Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,3,Bollywood,42.0,0.565,0.754,-11.636,0.0344,0.678,0,0.0756,0.922,135.01,6.05555,3
Bryan Adams,I Think About You,10,Rock,43.0,0.616,0.551,-7.27,0.0249,0.155,1,0.099,0.618,75.027,216373.0,4
The Shins,Simple Song,1,Alt Music,62.0,0.546,0.878,-5.137,0.0525,0.0133,1,0.135,0.35,119.945,255400.0,4
benny blanco,Care (with Omar Apollo),1,Alt Music,50.0,0.618,0.215,-12.8,0.04,0.759,1,0.109,0.214,90.004,290466.0,4
The 1975,She's American,10,Rock,57.0,0.639,0.859,-3.923,0.0554,0.18,1,0.0798,0.523,115.97,270104.0,4
Winger,Seventeen,8,Metal,60.0,0.577,0.676,-11.931,0.0295,0.000895,1,0.0625,0.676,95.98,245267.0,4
Townes Van Zandt,Waitin' Around To Die,6,Indie,52.0,0.551,0.233,-18.251,0.0312,0.71,0,0.11,0.659,89.574,165187.0,4
Piers Faccini,Bring Down The Wall,10,Rock,28.0,0.454,0.387,-10.159,0.0417,0.406,0,0.0783,0.686,97.995,205533.0,4
Athletic Progression,Stepney Tale,5,HipHop,37.0,0.632,0.8,-7.227,0.234,0.547,0,0.147,0.496,92.757,209833.0,4
Thirty Seconds To Mars,Dangerous Night,10,Rock,56.0,0.295,0.715,-6.533,0.0709,0.00212,1,0.242,0.242,86.937,199773.0,4
Pete Rock & C.L. Smooth,Straighten It Out,5,HipHop,50.0,0.77,0.656,-11.169,0.246,0.11,0,0.0793,0.788,98.82,253413.0,4
Peter Case,Bumble Bee,2,Blues,45.0,0.717,0.245,-10.908,0.0493,0.665,0,0.385,0.502,83.554,214933.0,4
Menahan Street Band,Queens Highway,1,Alt Music,50.0,0.778,0.399,-8.984,0.0858,0.0751,1,0.103,0.321,137.305,67720.0,4
Butcher Babies,Sleeping with the Enemy,8,Metal,48.0,0.438,0.951,-5.192,0.0736,4.63e-05,0,0.351,0.461,165.088,212927.0,4
MICROCORPS,DOR,6,Indie,10.0,0.451,0.776,-11.756,0.0587,0.0518,0,0.11,0.609,177.953,331304.0,4
Sarah Palu,Ikivirta,1,Alt Music,38.0,0.617,0.375,-11.889,0.0319,0.742,0,0.109,0.117,151.983,387547.0,4
Saltatio Mortis,Kaufmann und Maid,8,Metal,54.0,0.565,0.768,-5.332,0.0382,0.0277,0,0.0725,0.58,124.006,223907.0,4
JADHU,Fling,9,Pop,32.0,0.62,0.835,-6.711,0.0319,0.273,0,0.113,0.699,99.022,225072.0,4
Bring Me The Horizon,Parasite Eve,10,Rock,69.0,0.589,0.797,-5.464,0.15,0.0289,1,0.383,0.232,102.489,291813.0,4
Frost*,Day and Age - Edit,8,Metal,38.0,0.443,0.858,-6.935,0.0378,0.000843,1,0.18,0.34,169.951,301533.0,4
Toto Espinoza,Frida Kahlo,7,Instrumental,41.0,0.605,0.162,-12.932,0.0353,0.98,0,0.104,0.126,95.576,5.735216667,3
T-Bone Walker,Evil Hearted Woman - Alternate Take,2,Blues,30.0,0.624,0.26,-11.64,0.0621,0.904,1,0.0825,0.551,51.0,156933.0,4
K. J. Yesudas,Do Din Ki Jawani - Adalat / Soundtrack Version,3,Bollywood,7.0,0.513,0.658,-7.185,0.0622,0.512,0,0.21,0.698,145.896,3.181333333,4
Jimi Hendrix,Purple Haze,10,Rock,71.0,0.533,0.905,-5.27,0.0754,0.00876,1,0.0698,0.486,108.9,2.84688333,4
Eskiz,Aborjinin Türküsü,10,Rock,21.0,0.588,0.747,-6.064,0.0498,0.116,1,0.244,0.263,138.067,249000.0,4
Lowest Creature,Reapers Fool,8,Metal,23.0,0.487,0.975,-4.974,0.105,7.47e-05,1,0.201,0.526,139.964,202019.0,4
Tomer Yeshayahu,בלי לעזוב,9,Pop,30.0,0.621,0.375,-11.8,0.0297,0.701,1,0.122,0.508,132.611,219625.0,4
Neon Trees,Animal,10,Rock,66.0,0.482,0.829,-5.576,0.0437,0.00034,1,0.378,0.739,147.99,212307.0,4
JJ Lin,Bedroom (feat. Anne-Marie),9,Pop,69.0,0.369,0.424,-5.431,0.0318,0.64,1,0.184,0.181,179.597,203991.0,4
Foreign Air,Monsters,6,Indie,50.0,0.552,0.673,-4.9,0.0298,0.00553,0,0.114,0.174,89.993,224053.0,4
S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,3,Bollywood,34.0,0.548,0.347,-14.7,0.0362,0.771,0,0.124,0.498,117.75,6.90355,4
Scary Kids Scaring Kids,Holding On,10,Rock,49.0,0.421,0.935,-5.153,0.0697,0.000442,0,0.1,0.455,165.02,261240.0,4
Lawrence of Arcadia,David Keenan,0,Acoustic/Folk,30.0,0.524,0.336,-8.034,0.0415,0.841,1,0.111,0.458,110.964,4.757883333,5
Nirvana,In Bloom,1,Alt Music,65.0,0.436,0.876,-4.902,0.0647,3.33e-05,0,0.205,0.512,157.044,255080.0,4
Berry Sakharof,77' - Acoustic Live,10,Rock,17.0,0.5,0.47,-7.996,0.0345,0.642,1,0.276,0.346,158.809,268400.0,4
Breezie 311,Shots In The Dark,10,Rock,32.0,0.705,0.756,-5.274,0.0415,0.00477,0,0.0892,0.846,129.98,141875.0,4
Ghali,Combo (feat. Mr Eazi),9,Pop,41.0,0.825,0.781,-4.732,0.107,0.0833,0,0.26,0.812,100.013,176012.0,4
Gwar,Sick of You,8,Metal,48.0,0.657,0.535,-9.715,0.047,0.000329,1,0.318,0.738,132.257,188830.0,4
Downset,Empower,8,Metal,42.0,0.58,0.93,-5.719,0.12,0.0128,1,0.102,0.534,97.917,144267.0,4
Blue Material,Blue Blood,6,Indie,37.0,0.621,0.602,-7.796,0.0279,0.000316,0,0.134,0.609,116.011,230152.0,4
Sempra,B Mine?,1,Alt Music,19.0,0.754,0.92,-4.484,0.05,0.183,0,0.187,0.966,147.998,266133.0,4
Malcolm McLaren,Buffalo Gals,5,HipHop,41.0,0.881,0.636,-13.617,0.156,0.0257,0,0.207,0.616,108.863,259427.0,4
Arcade Fire,Ready to Start,10,Rock,58.0,0.282,0.932,-4.701,0.0387,0.12,1,0.0692,0.536,190.08,255893.0,4
Bad Nerves,Dreaming,6,Indie,32.0,0.449,0.958,-6.602,0.123,5.33e-06,0,0.148,0.389,107.458,129373.0,4
3 Doors Down,Your Arms Feel Like home,10,Rock,37.0,0.548,0.709,-6.557,0.0273,0.00678,0,0.104,0.191,119.998,224213.0,4
ARXX,Deep,10,Rock,33.0,0.65,0.6,-10.615,0.04,0.0278,0,0.811,0.795,110.016,180203.0,4
Crown Lands,Howlin' Back Again,10,Rock,39.0,0.494,0.969,-2.694,0.222,0.172,1,0.148,0.165,121.214,169808.0,4
The Undercover Dream Lovers,Get to You,6,Indie,42.0,0.761,0.707,-6.208,0.0356,0.68,0,0.0969,0.893,113.976,208421.0,4
A Scent Like Wolves,Telephone,8,Metal,39.0,0.553,0.939,-4.04,0.0795,0.000833,0,0.404,0.369,124.984,198840.0,4
Idan Rafael Haviv,שלמים,9,Pop,55.0,0.417,0.355,-12.372,0.0599,0.847,1,0.113,0.0914,86.078,221025.0,4
Otis Junior,When It's Sweet,1,Alt Music,30.0,0.824,0.489,-5.669,0.0692,0.302,0,0.0887,0.771,86.815,160250.0,4
Madhav Gopi Nair,Mukti,6,Indie,17.0,0.349,0.336,-11.111,0.0292,0.723,1,0.154,0.062,112.966,111765.0,5
The Sequence,Funk You Up - 12'' Version,5,HipHop,24.0,0.921,0.768,-5.735,0.311,0.507,1,0.053,0.775,103.713,652320.0,4
Advaita,Ghir Ghir,0,Acoustic/Folk,33.0,0.601,0.728,-10.469,0.0436,0.378,1,0.368,0.862,137.99,5.09355,3
John Campbell,Devil in My Closet,2,Blues,30.0,0.353,0.495,-11.503,0.0344,0.000119,1,0.13,0.567,81.018,360600.0,4
Dan + Shay,Glad You Exist,4,Country,79.0,0.748,0.551,-6.12,0.0349,0.235,1,0.119,0.66,103.953,2.408883333,4
Gymshorts,Gotta Get Away,1,Alt Music,23.0,0.15,0.843,-8.369,0.0439,0.000127,1,0.665,0.729,180.034,145932.0,4
Liz Phair,Fuck and Run,1,Alt Music,47.0,0.774,0.64,-7.949,0.0333,0.743,1,0.088,0.947,136.226,187933.0,4
Stephen Taranto,Pixel Heart: Verdant,8,Metal,28.0,0.373,0.964,-7.925,0.0798,0.000152,0,0.109,0.207,83.958,312363.0,4
Deep Purple,Gettin' Tighter,10,Rock,43.0,0.42,0.831,-9.069,0.0754,0.00028,1,0.153,0.752,120.867,218173.0,4
Loyle Carner,Yesterday,5,HipHop,60.0,0.428,0.98,-2.975,0.443,0.0734,0,0.127,0.423,92.035,168654.0,4
Nickelback,Rockstar,10,Rock,70.0,0.616,0.91,-3.004,0.0386,0.0459,1,0.343,0.693,144.072,252040.0,4
Post Malone,Motley Crew,9,Pop,90.0,0.797,0.631,-3.818,0.0786,0.0904,0,0.0998,0.288,129.915,3.07021667,4
Yehudit Ravitz,רחבת הריקודים,10,Rock,20.0,0.418,0.761,-8.285,0.0557,0.295,1,0.36,0.467,152.472,298693.0,4
Olivia Rodrigo,good 4 u,9,Pop,99.0,0.563,0.664,-5.044,0.154,0.335,1,0.0849,0.688,166.928,2.96911667,4
Rema,Bounce,9,Pop,59.0,0.463,0.847,-6.776,0.0511,0.0307,0,0.117,0.625,114.962,187783.0,4
Charlie Puth,Cheating on You,9,Pop,75.0,0.749,0.535,-6.785,0.0336,0.0131,1,0.0982,0.601,123.042,196607.0,4
Ravid Plotnik,נענע,5,HipHop,46.0,0.709,0.337,-13.14,0.106,0.447,1,0.846,0.387,68.0,320333.0,4
Ulver,Little Boy,10,Rock,33.0,0.283,0.41,-14.35,0.0423,0.00106,1,0.109,0.0612,91.127,323430.0,4
